Date,Operating Reserve,Temperature,Holiday
20190828,4094.0,30.383213061426495,0
20190829,4056.0,30.422957756941607,0
20190830,5615.0,27.820255442920256,0
20190831,4767.0,29.65248080507089,2
20190901,4982.0,29.799572821824537,2
20190902,4606.0,30.115756596259924,0
20190903,4581.0,29.68743286811633,0
20190904,5419.0,26.913600996882977,0
20190905,5876.0,26.884721852443228,0
20190906,5085.0,28.487449091011122,0
20190907,4894.0,28.847846236127722,2
20190908,4192.0,28.565359317652064,2
20190909,4961.0,29.015737926025576,0
20190910,4148.0,28.960930757842178,0
20190911,4575.0,29.86030292254368,0
20190912,4625.0,29.87408924359656,0
20190913,4824.0,29.61376873234486,2
20190914,4394.0,29.089979059178404,2
20190915,5387.0,27.361008411431893,2
20190916,6025.0,27.503515102680723,0
20190917,5975.0,27.45880987855016,0
20190918,6042.0,27.242454864507618,0
20190919,6893.0,26.418605200621275,0
20190920,6345.0,24.319150302246438,0
20190921,5612.0,23.37246002616923,2
20190922,5421.0,25.17693269989264,2
20190923,6619.0,25.450532858747223,0
20190924,6616.0,25.574102085949086,0
20190925,5679.0,26.12425497668971,0
20190926,5659.0,26.505287452391215,0
20190927,6244.0,26.440857561376927,0
20190928,4852.0,26.626709713886232,2
20190929,4315.0,27.68517839869337,2
20190930,7657.0,26.3895138236368,0
20191001,4532.0,27.393048393791275,0
20191002,4077.0,28.31014717039342,0
20191003,3807.0,28.258301524099252,0
20191004,4421.0,27.736741012639893,0
20191005,4561.0,27.877858455521086,0
20191006,3789.0,27.8214946495966,2
20191007,3702.0,28.031958793723636,0
20191008,4351.0,27.388293373716905,0
20191009,4701.0,26.74952391211431,0
20191010,4405.0,26.67723427269147,2
20191011,4490.0,26.626299518764046,2
20191012,4742.0,26.79544837485529,2
20191013,5432.0,26.59001136900467,2
20191014,5091.0,25.854748339331792,0
20191015,5085.0,24.893551359151036,0
20191016,3984.0,24.242497921615424,0
20191017,4582.0,24.918982152714484,0
20191018,4810.0,24.20364322955872,0
20191019,4788.0,23.928204191674645,2
20191020,4420.0,24.013625624782303,2
20191021,4274.0,23.896840861621733,0
20191022,3803.0,24.568082100331527,0
20191023,3779.0,24.95620582892009,0
20191024,3829.0,24.971574911209775,0
20191025,4120.0,25.019299997849306,0
20191026,3101.0,24.735682050049824,2
20191027,2762.0,25.005908687289086,2
20191028,4053.0,24.618714298816204,0
20191029,4616.0,23.055413478018068,0
20191030,3666.0,23.979517529254977,0
20191031,3639.0,24.54889721396348,0
20191101,3930.0,25.203875689735685,0
20191102,3378.0,25.12909062918628,2
20191103,3420.0,24.70217821872739,2
20191104,3455.0,23.172992829295097,0
20191105,3769.0,22.88224544763942,0
20191106,3344.0,23.677259994477417,0
20191107,3752.0,23.831476018915218,0
20191108,4741.0,22.990060661884222,0
20191109,3709.0,22.04152724247375,2
20191110,3032.0,21.911703839035265,2
20191111,3607.0,22.12428265758333,0
20191112,3592.0,23.222111824135663,0
20191113,3300.0,23.288853437486175,0
20191114,3823.0,21.798393043474395,0
20191115,3150.0,22.228016401624735,0
20191116,3200.0,23.294270110642,2
20191117,2590.0,23.732920023415353,2
20191118,3037.0,22.571830837417796,0
20191119,3337.0,19.795733625876935,0
20191120,3347.0,20.522546752219725,0
20191121,2996.0,21.471928391091783,0
20191122,2970.0,22.856692293278297,0
20191123,2695.0,23.594370507185168,2
20191124,3190.0,23.96383262891979,2
20191125,2969.0,22.63666180783242,0
20191126,3312.0,21.787459782671306,0
20191127,3565.0,21.80695054940301,0
20191128,3418.0,19.576739013979253,0
20191129,3392.0,19.930050091354982,0
20191130,3004.0,21.463186469475374,2
20191201,3425.0,21.66986499337859,2
20191202,3462.0,17.70581725196399,0
20191203,3150.0,17.53979203546714,0
20191204,3053.0,17.682035273084775,0
20191205,3022.0,15.524288046674473,0
20191206,3414.0,15.424488561654046,0
20191207,2901.0,15.092714789272941,2
20191208,2956.0,16.705973912596356,2
20191209,3205.0,18.431767029837026,0
20191210,3146.0,19.617192189575373,0
20191211,3202.0,19.614411993298738,0
20191212,2998.0,19.381577843073128,0
20191213,3154.0,19.995408401642532,0
20191214,3035.0,20.713791555640267,2
20191215,2812.0,21.8586745208962,2
20191216,3039.0,21.367656269428846,0
20191217,3189.0,22.854497783674464,0
20191218,3254.0,21.488971422737364,0
20191219,3107.0,20.118779678627234,0
20191220,3146.0,19.29557538930621,0
20191221,2815.0,20.336286919909455,2
20191222,2747.0,20.411742180688314,2
20191223,3330.0,20.27328193055044,0
20191224,3284.0,20.23894189397878,0
20191225,3606.0,21.1881790903758,0
20191226,3263.0,20.939195014398514,0
20191227,3206.0,16.999990723594255,0
20191228,3153.0,19.496845694499346,2
20191229,2899.0,19.00464077381416,2
20191230,3143.0,20.090016653033253,0
20191231,3108.0,17.276645533024375,0
20200101,2790.0,17.150773600325717,2
20200102,3080.0,19.393788565683504,0
20200103,3384.0,20.044544163231123,0
20200104,3636.0,20.197904898115276,2
20200105,2695.0,21.042642067443236,2
20200106,3009.0,20.479543343743178,0
20200107,3104.0,21.419063328989925,0
20200108,3235.0,19.255874980748832,0
20200109,3131.0,19.35808325354759,0
20200110,3298.0,20.741131502723345,0
20200111,3851.0,19.629788028257625,2
20200112,3091.0,16.45628807436155,2
20200113,3157.0,16.938270809987817,0
20200114,3412.0,18.230982150736835,0
20200115,3386.0,18.372950859893766,0
20200116,3005.0,19.3175109184717,0
20200117,3399.0,16.493838661982608,0
20200118,3160.0,15.330081084809214,2
20200119,3334.0,16.007142640837593,2
20200120,3183.0,16.706049712140956,0
20200121,3259.0,18.57702063107246,0
20200122,3887.0,20.90495439172611,0
20200123,3344.0,22.18592264948486,2
20200124,3483.0,21.331684283803384,2
20200125,3551.0,20.146151694510717,2
20200126,3528.0,18.136430806170953,2
20200127,3704.0,16.02979359039298,2
20200128,3653.0,14.285756836049757,2
20200129,3304.0,13.068330400233956,2
20200130,2991.0,12.310392003231478,0
20200131,3361.0,12.822385085665536,0
20200201,3890.0,14.714740913263073,2
20200202,3247.0,17.309266121972932,2
20200203,4088.0,17.682606226279038,0
20200204,3302.0,17.414659359998456,0
20200205,3643.0,17.0869069125971,0
20200206,3347.0,19.08213246212989,0
20200207,3767.0,17.25680367812887,0
20200208,3660.0,16.622782197409332,2
20200209,3084.0,15.895757617220768,2
20200210,3146.0,17.474969816145467,0
20200211,3219.0,19.045143971547574,0
20200212,3348.0,21.629123896935855,0
20200213,3246.0,22.47905327017714,0
20200214,3123.0,22.24012529389705,0
20200215,2996.0,23.745104276441587,0
20200216,3985.0,16.68267079031022,2
20200217,3744.0,12.592020789284312,0
